"Data Import Template"
"Table:","Item"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Item","","","","","","","","~","~","~","~","~","~","~","~","~","~"
"Column Labels:","ID","Item Code","Item Group","Default Unit of Measure","Maintain Stock","Item Name","Is Purchase Item","Is Sales Item","","","","","","","","","",""
"Column Name:","name","item_code","item_group","stock_uom","is_stock_item","item_name","is_purchase_item","is_sales_item","~","~","~","~","~","~","~","~","~","~"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","No","No","No","","","","","","","","","",""
"Type:","Data (text)","Data","Link","Link","Check","Data","Check","Check","","","","","","","","","",""
"Info:","","","Valid Item Group","Valid UOM","0 or 1","","0 or 1","0 or 1","","","","","","","","","",""
"Start entering data below this line"
,,Atocopherol,Drug,Nos,1,Atocopherol,1,1
,,Abacavir,Drug,Nos,1,Abacavir,1,1
,,Abciximab,Drug,Nos,1,Abciximab,1,1
,,Acacia,Drug,Nos,1,Acacia,1,1
,,Acamprosate,Drug,Nos,1,Acamprosate,1,1
,,Acarbose,Drug,Nos,1,Acarbose,1,1
,,Acebrofylline,Drug,Nos,1,Acebrofylline,1,1
,,Acebrofylline (SR),Drug,Nos,1,Acebrofylline (SR),1,1
,,Aceclofenac,Drug,Nos,1,Aceclofenac,1,1
,,Aceclofenac (DR),Drug,Nos,1,Aceclofenac (DR),1,1
,,Aceclofenac (IR),Drug,Nos,1,Aceclofenac (IR),1,1
,,Aceclofenac (SR),Drug,Nos,1,Aceclofenac (SR),1,1
,,Aceclofenac Sodium,Drug,Nos,1,Aceclofenac Sodium,1,1
,,Aceclofenac §-cyclodextrin,Drug,Nos,1,Aceclofenac §-cyclodextrin,1,1
,,Acediasulfone,Drug,Nos,1,Acediasulfone,1,1
,,Acenocoumarol,Drug,Nos,1,Acenocoumarol,1,1
,,Acetaminophen,Drug,Nos,1,Acetaminophen,1,1
,,Acetaminophen and Codeine,Drug,Nos,1,Acetaminophen and Codeine,1,1
,,Acetate,Drug,Nos,1,Acetate,1,1
,,Acetazolamide,Drug,Nos,1,Acetazolamide,1,1
,,Acetic Acid,Drug,Nos,1,Acetic Acid,1,1
,,Acetic Acid Glacial,Drug,Nos,1,Acetic Acid Glacial,1,1
,,Acetylcysteine,Drug,Nos,1,Acetylcysteine,1,1
,,Acetylsalicylic Acid,Drug,Nos,1,Acetylsalicylic Acid,1,1
,,Acetysalicylic Acid,Drug,Nos,1,Acetysalicylic Acid,1,1
,,Aciclovir,Drug,Nos,1,Aciclovir,1,1
,,Acitretin,Drug,Nos,1,Acitretin,1,1
,,Aclarubicin,Drug,Nos,1,Aclarubicin,1,1
,,Acrivastine,Drug,Nos,1,Acrivastine,1,1
,,Activated Charcoal,Drug,Nos,1,Activated Charcoal,1,1
,,Activated Dimethicone,Drug,Nos,1,Activated Dimethicone,1,1
,,Activated Polymethylsiloxane,Drug,Nos,1,Activated Polymethylsiloxane,1,1
,,Acyclovir,Drug,Nos,1,Acyclovir,1,1
,,Adapalene,Drug,Nos,1,Adapalene,1,1
,,Adefovir Dipivoxil,Drug,Nos,1,Adefovir Dipivoxil,1,1
,,Ademetionine,Drug,Nos,1,Ademetionine,1,1
,,Adenosine,Drug,Nos,1,Adenosine,1,1
,,Adenosylcobalamin,Drug,Nos,1,Adenosylcobalamin,1,1
,,Adrenaline,Drug,Nos,1,Adrenaline,1,1
,,Adrenochrome Monosemicarbazone,Drug,Nos,1,Adrenochrome Monosemicarbazone,1,1
,,Al silicate,Drug,Nos,1,Al silicate,1,1
,,Alanine,Drug,Nos,1,Alanine,1,1
,,Albendazole,Drug,Nos,1,Albendazole,1,1
,,Albumin Human,Drug,Nos,1,Albumin Human,1,1
,,Albuterol,Drug,Nos,1,Albuterol,1,1
,,Albuterol (Salbutamol),Drug,Nos,1,Albuterol (Salbutamol),1,1
,,Albuterol Sulphate,Drug,Nos,1,Albuterol Sulphate,1,1
,,Alcohol,Drug,Nos,1,Alcohol,1,1
,,Alcohol 95%,Drug,Nos,1,Alcohol 95%,1,1
,,Alendronate,Drug,Nos,1,Alendronate,1,1
,,Alendronic Acid,Drug,Nos,1,Alendronic Acid,1,1
,,Alfacalcidol,Drug,Nos,1,Alfacalcidol,1,1
,,Alfuzosin,Drug,Nos,1,Alfuzosin,1,1
,,Alfuzosin (ER),Drug,Nos,1,Alfuzosin (ER),1,1
,,Alginic acid,Drug,Nos,1,Alginic acid,1,1
,,a-linolenic acid,Drug,Nos,1,a-linolenic acid,1,1
,,Aliskiren,Drug,Nos,1,Aliskiren,1,1
,,Allantoin,Drug,Nos,1,Allantoin,1,1
,,Allopurinol,Drug,Nos,1,Allopurinol,1,1
,,Allylestrenol,Drug,Nos,1,Allylestrenol,1,1
,,Aloe,Drug,Nos,1,Aloe,1,1
,,Aloe Vera,Drug,Nos,1,Aloe Vera,1,1
,,Aloe vera extract,Drug,Nos,1,Aloe vera extract,1,1
,,Aloe Vera Gel,Drug,Nos,1,Aloe Vera Gel,1,1
,,Aloes,Drug,Nos,1,Aloes,1,1
,,alpha hederin,Drug,Nos,1,alpha hederin,1,1
,,Alpha hydroxy acids,Drug,Nos,1,Alpha hydroxy acids,1,1
,,Alpha Ketoanalogue,Drug,Nos,1,Alpha Ketoanalogue,1,1
,,Alpha Ketoanalogue Tablets,Drug,Nos,1,Alpha Ketoanalogue Tablets,1,1
,,Alpha linolenic acid,Drug,Nos,1,Alpha linolenic acid,1,1
,,Alpha linolennic acid,Drug,Nos,1,Alpha linolennic acid,1,1
,,Alpha Lipoic Acid,Drug,Nos,1,Alpha Lipoic Acid,1,1
,,Alpha Tocophenyl Acetate,Drug,Nos,1,Alpha Tocophenyl Acetate,1,1
,,Alpha Tocopherol,Drug,Nos,1,Alpha Tocopherol,1,1
,,Alpha tocopherol acetate,Drug,Nos,1,Alpha tocopherol acetate,1,1
,,Alpha tocopherol palmitate,Drug,Nos,1,Alpha tocopherol palmitate,1,1
,,Alpha Tocopheryl Acetate,Drug,Nos,1,Alpha Tocopheryl Acetate,1,1
,,Alpha-chain specific antisera to Human lg A,Drug,Nos,1,Alpha-chain specific antisera to Human lg A,1,1
,,Alpha-chain specific antisera to Human lg G,Drug,Nos,1,Alpha-chain specific antisera to Human lg G,1,1
,,Alphachymotrypsin,Drug,Nos,1,Alphachymotrypsin,1,1
,,Alprazolam,Drug,Nos,1,Alprazolam,1,1
,,Alprazolam SR,Drug,Nos,1,Alprazolam SR,1,1
,,Alprostadil,Drug,Nos,1,Alprostadil,1,1
,,Alum,Drug,Nos,1,Alum,1,1
,,Aluminium,Drug,Nos,1,Aluminium,1,1
,,Aluminium Hydroxide,Drug,Nos,1,Aluminium Hydroxide,1,1
,,Aluminium hydroxide gel,Drug,Nos,1,Aluminium hydroxide gel,1,1
,,Aluminium Magnesium Silicate,Drug,Nos,1,Aluminium Magnesium Silicate,1,1
,,Aluminum Hydroxide and Magnesium Hydroxide,Drug,Nos,1,Aluminum Hydroxide and Magnesium Hydroxide,1,1
,,Amantadine,Drug,Nos,1,Amantadine,1,1
,,Amantadine Hydrochloride,Drug,Nos,1,Amantadine Hydrochloride,1,1
,,Amaranth denatured abs.,Drug,Nos,1,Amaranth denatured abs.,1,1
,,Ambrisentan,Drug,Nos,1,Ambrisentan,1,1
,,Ambroxil (SR),Drug,Nos,1,Ambroxil (SR),1,1
,,Ambroxil Hydrochloride,Drug,Nos,1,Ambroxil Hydrochloride,1,1
,,Ambroxol,Drug,Nos,1,Ambroxol,1,1
,,Ambroxol (SR),Drug,Nos,1,Ambroxol (SR),1,1
,,Ambroxol Hydrochloride,Drug,Nos,1,Ambroxol Hydrochloride,1,1
,,Ambroxol Hydrochloride (SR),Drug,Nos,1,Ambroxol Hydrochloride (SR),1,1
,,Ambroxol SR,Drug,Nos,1,Ambroxol SR,1,1
,,Ambroxyl Hydrochloride,Drug,Nos,1,Ambroxyl Hydrochloride,1,1
